count,density,width,shade,diameter,gauge,needles,feeders,rpm,shrinkage_length,shrinkage_width,stitch_length
24.60416667,170,190,Dark,34,24,2568,6,18,5.8,7.3,0.286214953
24.60416667,170,190,Dark,34,24,2568,11,18,5.8,7.3,0.286214953
24.60416667,170,190,Dark,34,24,2568,11,18,5.8,7.3,0.286214953
29.525,185,234,Medium,34,24,2568,13,22,8,8,0.326129283
29.525,185,234,White,34,24,2568,13,22,8,8,0.326129283
19.68333333,140,150,Dark,30,24,2256,18,18,9,6,0.276152482
19.68333333,175,196,Black,34,24,2568,20,18,6,6.3,0.298870717
19.68333333,175,196,Medium,34,24,2568,20,13,3,6,0.298870717
19.68333333,175,98,Medium,34,24,2568,20,18,3,6,0.298870717
19.68333333,175,196,Dark,34,24,2568,20,13,5,5,0.298870717
19.68333333,175,196,Dark,34,24,2568,20,13,5,5,0.298870717
19.68333333,175,196,Black,34,24,2568,20,13,2,5,0.298870717
19.68333333,175,98,Black,34,24,2568,20,13,2,5,0.298870717
19.68333333,175,196,Light,34,24,2568,20,13,4.9,5.1,0.298870717
19.68333333,175,98,Light,34,24,2568,20,13,4.9,5.1,0.298870717
19.68333333,175,196,Black,34,24,2568,20,13,2.6,5.4,0.298870717
19.68333333,175,98,Black,34,24,2568,20,13,2.6,5.4,0.298870717
19.68333333,175,196,Light,34,24,2568,20,13,5,5,0.298870717
19.68333333,175,98,Light,34,24,2568,20,13,5,5,0.298870717
19.68333333,175,196,Medium,34,24,2568,20,13,5.5,5.5,0.298870717
19.68333333,175,98,Medium,34,24,2568,20,13,5.5,5.5,0.298870717
19.68333333,175,196,Dark,34,24,2568,20,12,6,6,0.298870717
19.68333333,175,196,Black,34,24,2568,20,18,3,6,0.298870717
19.68333333,175,196,Light,34,24,2568,20,18,4.4,7.4,0.298870717
19.68333333,175,98,Black,34,24,2568,20,18,3,6,0.298870717
19.68333333,175,98,Light,34,24,2568,20,18,4.4,7.4,0.298870717
19.68333333,145,154,Medium,30,24,2256,20,15,5,8,0.257092199
19.68333333,145,175,Medium,34,24,2568,20,22,5,8,0.257009346
19.68333333,145,175,Medium,34,24,2568,20,22,5,8,0.257009346
29.525,175,196,Black,34,24,2568,20,18,6,6.3,0.303154206
29.525,175,196,Medium,34,24,2568,20,13,3,6,0.303154206
29.525,175,98,Medium,34,24,2568,20,18,3,6,0.303154206
29.525,175,196,Dark,34,24,2568,20,13,5,5,0.303154206
29.525,175,196,Dark,34,24,2568,20,13,5,5,0.303154206
29.525,175,196,Black,34,24,2568,20,13,2,5,0.303154206
29.525,175,98,Black,34,24,2568,20,13,2,5,0.303154206
29.525,175,196,Light,34,24,2568,20,13,4.9,5.1,0.303154206
29.525,175,98,Light,34,24,2568,20,13,4.9,5.1,0.303154206
29.525,175,196,Black,34,24,2568,20,13,2.6,5.4,0.303154206
29.525,175,98,Black,34,24,2568,20,13,2.6,5.4,0.303154206
29.525,175,196,Light,34,24,2568,20,13,5,5,0.303154206
29.525,175,98,Light,34,24,2568,20,13,5,5,0.303154206
29.525,175,196,Medium,34,24,2568,20,13,5.5,5.5,0.303154206
29.525,175,98,Medium,34,24,2568,20,13,5.5,5.5,0.303154206
29.525,175,196,Dark,34,24,2568,20,12,6,6,0.303154206
29.525,175,196,Black,34,24,2568,20,18,3,6,0.303154206
29.525,175,196,Light,34,24,2568,20,18,4.4,7.4,0.303154206
29.525,175,98,Black,34,24,2568,20,18,3,6,0.303154206
29.525,175,98,Light,34,24,2568,20,18,4.4,7.4,0.303154206
19.68333333,150,185,Black,32,24,2400,25,18,4,7,0.306041667
19.68333333,150,185,Black,32,24,2400,25,18,4,7,0.306041667
19.68333333,150,185,Medium,32,24,2400,25,18,5,5,0.306041667
19.68333333,150,185,Medium,32,24,2400,25,18,5,5,0.306041667
19.68333333,150,185,Black,32,24,2400,25,18,2,5,0.306041667
19.68333333,150,185,Black,32,24,2400,25,18,2,5,0.306041667
19.68333333,150,185,White,32,24,2400,25,18,6.7,6.5,0.306041667
19.68333333,150,185,White,32,24,2400,25,18,6.7,6.5,0.306041667
19.68333333,150,185,Black,32,24,2400,25,15,5,8,0.306041667
19.68333333,150,185,Black,32,24,2400,25,15,5,8,0.306041667
19.68333333,150,185,White,32,24,2400,25,15,7.1,5.5,0.306041667
19.68333333,150,185,White,32,24,2400,25,15,7.1,5.5,0.306041667
19.68333333,150,185,White,32,24,2400,25,15,7.8,6.2,0.306041667
19.68333333,150,185,White,32,24,2400,25,15,7.8,6.2,0.306041667
19.68333333,175,98,Black,34,24,2520,25,18,2.5,5.5,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,2.5,5.5,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,3.4,6.6,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,3.4,6.6,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,3.6,6.8,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,3.6,6.8,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,2,5,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,2,5,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,3.1,6.8,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,1.5,5,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,3.1,6.8,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,3.2,6.1,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,2,5,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,1.8,5,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4.8,7.8,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,1.8,5,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4.8,7.8,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,18,4.2,5.6,0.298015873
19.68333333,175,98,Medium,34,24,2520,25,18,4.2,5.6,0.298015873
19.68333333,175,196,Extra Dark,34,24,2520,25,18,4,6.8,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,3,6,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4.4,7.4,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,3,6,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4.4,7.4,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,5.1,6.3,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,5.1,6.3,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4,6,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4,6,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,4,6.9,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,4,6.9,0.298015873
19.68333333,175,196,Dark,34,24,2520,25,18,4.3,7.1,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,3.6,6.6,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,3.6,6.6,0.298015873
19.68333333,175,98,Dark,34,24,2520,25,18,4.3,7.1,0.298015873
19.68333333,175,196,White,34,24,2520,25,18,5.7,7.2,0.298015873
19.68333333,175,98,White,34,24,2520,25,18,5.7,7.2,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,2,5,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,3.4,3.8,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,2,5,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,3.4,3.8,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,18,5,5,0.298015873
19.68333333,175,98,Medium,34,24,2520,25,18,5,5,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,2.3,5.5,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,2.3,5.5,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,18,2.5,5.5,0.298015873
19.68333333,175,98,Medium,34,24,2520,25,18,2.5,5.5,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,2.5,5.8,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,2.5,5.8,0.298015873
19.68333333,175,196,White,34,24,2520,25,18,3.9,6.2,0.298015873
19.68333333,175,98,White,34,24,2520,25,18,3.9,6.2,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,5.5,6,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,5.5,6,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,18,2,5.4,0.298015873
19.68333333,175,98,Medium,34,24,2520,25,18,2,5.4,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,5.2,7.4,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,2,5,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,2,5,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4.4,7.4,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4.4,7.4,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,2,5,0.298015873
19.68333333,175,98,Dark,34,24,2520,25,18,5,6,0.298015873
19.68333333,175,196,Dark,34,24,2520,25,18,5,6,0.298015873
19.68333333,175,196,Dark,34,24,2520,25,18,4,7.6,0.298015873
19.68333333,175,98,Dark,34,24,2520,25,18,4,7.6,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4.5,6.9,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4.5,6.9,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4.5,5.8,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4.5,5.8,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4.5,6.9,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4.5,6.9,0.298015873
19.68333333,175,196,Dark,34,24,2520,25,18,3.5,6.5,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4,7,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4,7,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,3.2,6.5,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,3.2,6.5,0.298015873
19.68333333,175,196,White,34,24,2520,25,18,4.5,6.1,0.298015873
19.68333333,175,98,White,34,24,2520,25,18,4.5,6.1,0.298015873
19.68333333,175,98,Medium,34,24,2520,25,18,6.2,5.3,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,18,6.2,5.3,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,18,2,5.4,0.298015873
19.68333333,175,98,Medium,34,24,2520,25,18,2,5.4,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4.1,6.5,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,18,3,6,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4.1,6.5,0.298015873
19.68333333,175,98,Medium,34,24,2520,25,18,3,6,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,3.8,6,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,3.8,6,0.298015873
19.68333333,175,98,Medium,34,24,2520,25,18,4,6,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,18,4,6,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4.3,6.6,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4.3,6.6,0.298015873
19.68333333,175,196,Black,34,24,2520,25,15,2.5,5.5,0.298015873
19.68333333,175,196,Dark,34,24,2520,25,18,6,8,0.298015873
19.68333333,175,98,Dark,34,24,2520,25,18,6,8,0.298015873
19.68333333,175,196,Black,34,24,2520,25,15,4,7,0.298015873
19.68333333,175,98,Black,34,24,2520,25,15,4,7,0.298015873
19.68333333,175,196,Black,34,24,2520,25,18,5.2,6,0.298015873
19.68333333,175,98,Black,34,24,2520,25,18,5.2,6,0.298015873
19.68333333,175,196,Dark,34,24,2520,25,15,5.5,8,0.298015873
19.68333333,175,196,Light,34,24,2520,25,15,5,6.5,0.298015873
19.68333333,175,98,Light,34,24,2520,25,15,5,6.5,0.298015873
19.68333333,175,196,Light,34,24,2520,25,18,4,6,0.298015873
19.68333333,175,98,Light,34,24,2520,25,18,4,6,0.298015873
19.68333333,175,196,Medium,34,24,2520,25,15,5.5,7.7,0.298015873
19.68333333,175,196,Light,34,24,2520,25,15,4,6,0.298015873
