count,density,width,white,light,medium,dark,extra_dark,black,diameter,gauge,needles,feeders,rpm,shrinkage_length,shrinkage_width,stitch_length,tightness_factor
19.68333333,150,185,1,0,0,0,0,0,32,24,2400,25,15,-7.1,-5.5,0.306041667,14.4966871
19.68333333,150,185,1,0,0,0,0,0,32,24,2400,25,15,-7.8,-6.2,0.306041667,14.4966871
19.68333333,150,185,1,0,0,0,0,0,32,24,2400,25,15,-7.8,-6.2,0.306041667,14.4966871
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2.5,-5.5,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2.5,-5.5,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-3.4,-6.6,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.4,-6.6,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-3.6,-6.8,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-3.6,-6.8,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.1,-6.8,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-1.5,-5,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-3.1,-6.8,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.2,-6.1,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-1.8,-5,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.8,-7.8,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-1.8,-5,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.8,-7.8,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,18,-4.2,-5.6,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-4.2,-5.6,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,0,34,24,2520,25,18,-4,-6.8,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-3,-6,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.4,-7.4,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-3,-6,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.4,-7.4,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-5.1,-6.3,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-5.1,-6.3,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4,-6,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4,-6,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-4,-6.9,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-4,-6.9,0.298015873,14.88709389
19.68333333,175,196,0,0,0,1,0,0,34,24,2520,25,18,-4.3,-7.1,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.6,-6.6,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-3.6,-6.6,0.298015873,14.88709389
19.68333333,175,98,0,0,0,1,0,0,34,24,2520,25,18,-4.3,-7.1,0.298015873,14.88709389
19.68333333,175,196,1,0,0,0,0,0,34,24,2520,25,18,-5.7,-7.2,0.298015873,14.88709389
19.68333333,175,98,1,0,0,0,0,0,34,24,2520,25,18,-5.7,-7.2,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.4,-3.8,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-3.4,-3.8,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,18,-5,-5,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-5,-5,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2.3,-5.5,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2.3,-5.5,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,18,-2.5,-5.5,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-2.5,-5.5,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2.5,-5.8,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2.5,-5.8,0.298015873,14.88709389
19.68333333,175,196,1,0,0,0,0,0,34,24,2520,25,18,-3.9,-6.2,0.298015873,14.88709389
19.68333333,175,98,1,0,0,0,0,0,34,24,2520,25,18,-3.9,-6.2,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-5.5,-6,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-5.5,-6,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,18,-2,-5.4,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-2,-5.4,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-5.2,-7.4,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.4,-7.4,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.4,-7.4,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.298015873,14.88709389
19.68333333,175,98,0,0,0,1,0,0,34,24,2520,25,18,-5,-6,0.298015873,14.88709389
19.68333333,175,196,0,0,0,1,0,0,34,24,2520,25,18,-5,-6,0.298015873,14.88709389
19.68333333,175,196,0,0,0,1,0,0,34,24,2520,25,18,-4,-7.6,0.298015873,14.88709389
19.68333333,175,98,0,0,0,1,0,0,34,24,2520,25,18,-4,-7.6,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-6.9,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-6.9,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-5.8,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-5.8,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-6.9,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-6.9,0.298015873,14.88709389
19.68333333,175,196,0,0,0,1,0,0,34,24,2520,25,18,-3.5,-6.5,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4,-7,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4,-7,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-3.2,-6.5,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-3.2,-6.5,0.298015873,14.88709389
19.68333333,175,196,1,0,0,0,0,0,34,24,2520,25,18,-4.5,-6.1,0.298015873,14.88709389
19.68333333,175,98,1,0,0,0,0,0,34,24,2520,25,18,-4.5,-6.1,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-6.2,-5.3,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,18,-6.2,-5.3,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,18,-2,-5.4,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-2,-5.4,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.1,-6.5,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,18,-3,-6,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.1,-6.5,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-3,-6,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-3.8,-6,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-3.8,-6,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-4,-6,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,18,-4,-6,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.3,-6.6,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.3,-6.6,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,15,-2.5,-5.5,0.298015873,14.88709389
19.68333333,175,196,0,0,0,1,0,0,34,24,2520,25,18,-6,-8,0.298015873,14.88709389
19.68333333,175,98,0,0,0,1,0,0,34,24,2520,25,18,-6,-8,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,15,-4,-7,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,15,-4,-7,0.298015873,14.88709389
19.68333333,175,196,0,0,0,0,0,1,34,24,2520,25,18,-5.2,-6,0.298015873,14.88709389
19.68333333,175,98,0,0,0,0,0,1,34,24,2520,25,18,-5.2,-6,0.298015873,14.88709389
19.68333333,175,196,0,0,0,1,0,0,34,24,2520,25,15,-5.5,-8,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,15,-5,-6.5,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,15,-5,-6.5,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4,-6,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4,-6,0.298015873,14.88709389
19.68333333,175,196,0,0,1,0,0,0,34,24,2520,25,15,-5.5,-7.7,0.298015873,14.88709389
19.68333333,175,196,0,1,0,0,0,0,34,24,2520,25,15,-4,-6,0.298015873,14.88709389
19.68333333,175,98,0,1,0,0,0,0,34,24,2520,25,15,-4,-6,0.298015873,14.88709389
19.68333333,175,98,0,0,1,0,0,0,34,24,2520,25,18,-6.2,-5.3,0.298015873,14.88709389
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-4.2,-6.1,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.7,-6.4,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.7,-6.4,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.7,-6,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.7,-6,0.305625,16.22988541
24.60416667,165,180,0,0,0,1,0,0,32,24,2400,25,18,-5,-5,0.295,16.81443637
24.60416667,165,180,0,0,0,1,0,0,32,24,2400,25,18,-5,-5,0.295,16.81443637
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3,-6,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.8,-6.5,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-2.7,-5.7,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.6,-6.4,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.6,-6.4,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-2.9,-5.4,0.305625,16.22988541
24.60416667,180,188,0,0,1,0,0,0,32,24,2400,25,18,-5.3,-7,0.305625,16.22988541
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-4.2,-6.1,0.310416667,17.50450855
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.7,-6.4,0.310416667,17.50450855
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.7,-6.4,0.310416667,17.50450855
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.7,-6,0.310416667,17.50450855
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.7,-6,0.310416667,17.50450855
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3,-6,0.310416667,17.50450855
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.8,-6.5,0.310416667,17.50450855
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2.5,-5.5,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2.5,-5.5,0.30297619,17.93438351
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-2.7,-5.7,0.310416667,17.50450855
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-3.4,-6.6,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.4,-6.6,0.30297619,17.93438351
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.6,-6.4,0.310416667,17.50450855
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-3.6,-6.8,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-3.6,-6.8,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.1,-6.8,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-1.5,-5,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-3.1,-6.8,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.2,-6.1,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-1.8,-5,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.8,-7.8,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-1.8,-5,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.8,-7.8,0.30297619,17.93438351
29.525,175,196,0,0,1,0,0,0,34,24,2520,25,18,-4.2,-5.6,0.30297619,17.93438351
29.525,175,98,0,0,1,0,0,0,34,24,2520,25,18,-4.2,-5.6,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,0,34,24,2520,25,18,-4,-6.8,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-3,-6,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.4,-7.4,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-3,-6,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.4,-7.4,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-5.1,-6.3,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-5.1,-6.3,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4,-6,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4,-6,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-4,-6.9,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-4,-6.9,0.30297619,17.93438351
29.525,175,196,0,0,0,1,0,0,34,24,2520,25,18,-4.3,-7.1,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.6,-6.6,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-3.6,-6.6,0.30297619,17.93438351
29.525,175,98,0,0,0,1,0,0,34,24,2520,25,18,-4.3,-7.1,0.30297619,17.93438351
29.525,175,196,1,0,0,0,0,0,34,24,2520,25,18,-5.7,-7.2,0.30297619,17.93438351
29.525,175,98,1,0,0,0,0,0,34,24,2520,25,18,-5.7,-7.2,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-3.4,-3.8,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-3.4,-3.8,0.30297619,17.93438351
29.525,175,196,0,0,1,0,0,0,34,24,2520,25,18,-5,-5,0.30297619,17.93438351
29.525,175,98,0,0,1,0,0,0,34,24,2520,25,18,-5,-5,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2.3,-5.5,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2.3,-5.5,0.30297619,17.93438351
29.525,175,196,0,0,1,0,0,0,34,24,2520,25,18,-2.5,-5.5,0.30297619,17.93438351
29.525,175,98,0,0,1,0,0,0,34,24,2520,25,18,-2.5,-5.5,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2.5,-5.8,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2.5,-5.8,0.30297619,17.93438351
29.525,175,196,1,0,0,0,0,0,34,24,2520,25,18,-3.9,-6.2,0.30297619,17.93438351
29.525,175,98,1,0,0,0,0,0,34,24,2520,25,18,-3.9,-6.2,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-5.5,-6,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-5.5,-6,0.30297619,17.93438351
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-3.6,-6.4,0.310416667,17.50450855
29.525,180,188,0,0,1,0,0,0,32,24,2400,25,18,-2.9,-5.4,0.310416667,17.50450855
29.525,175,196,0,0,1,0,0,0,34,24,2520,25,18,-2,-5.4,0.30297619,17.93438351
29.525,175,98,0,0,1,0,0,0,34,24,2520,25,18,-2,-5.4,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-5.2,-7.4,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.30297619,17.93438351
29.525,175,98,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.4,-7.4,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.4,-7.4,0.30297619,17.93438351
29.525,175,196,0,0,0,0,0,1,34,24,2520,25,18,-2,-5,0.30297619,17.93438351
29.525,175,98,0,0,0,1,0,0,34,24,2520,25,18,-5,-6,0.30297619,17.93438351
29.525,175,196,0,0,0,1,0,0,34,24,2520,25,18,-5,-6,0.30297619,17.93438351
29.525,175,196,0,0,0,1,0,0,34,24,2520,25,18,-4,-7.6,0.30297619,17.93438351
29.525,175,98,0,0,0,1,0,0,34,24,2520,25,18,-4,-7.6,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-6.9,0.30297619,17.93438351
29.525,175,98,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-6.9,0.30297619,17.93438351
29.525,175,196,0,1,0,0,0,0,34,24,2520,25,18,-4.5,-5.8,0.30297619,17.93438351
